Date,Open,High,Low,Close,Adj Close,Volume
2019-07-29,2.760000,2.770000,2.740000,2.760000,2.527600,2879300
2019-07-30,2.780000,2.830000,2.770000,2.820000,2.582548,9722000
2019-07-31,2.800000,2.800000,2.710000,2.710000,2.481811,11485500
2019-08-01,2.700000,2.740000,2.690000,2.700000,2.472653,6860000
2019-08-02,2.690000,2.710000,2.680000,2.700000,2.472653,4583100
2019-08-05,2.670000,2.700000,2.620000,2.640000,2.417705,4811900
2019-08-06,2.620000,2.690000,2.610000,2.670000,2.445179,7137000
2019-08-07,2.760000,2.760000,2.710000,2.720000,2.490968,10876100
2019-08-08,2.730000,2.780000,2.720000,2.720000,2.490968,6963600
2019-08-13,2.700000,2.700000,2.570000,2.620000,2.399389,15823400
2019-08-14,2.660000,2.670000,2.500000,2.510000,2.298651,25677600
2019-08-15,2.490000,2.540000,2.440000,2.530000,2.316967,11583900
2019-08-16,2.510000,2.510000,2.460000,2.490000,2.280335,12612200
2019-08-19,2.490000,2.550000,2.480000,2.530000,2.316967,7491700
2019-08-20,2.480000,2.510000,2.460000,2.490000,2.321629,4915900
2019-08-21,2.490000,2.490000,2.460000,2.460000,2.293657,4384100
2019-08-22,2.470000,2.490000,2.460000,2.470000,2.302981,2965900
2019-08-23,2.480000,2.520000,2.470000,2.490000,2.321629,7244733
2019-08-26,2.470000,2.470000,2.420000,2.430000,2.265686,5652600
2019-08-27,2.420000,2.430000,2.380000,2.410000,2.247038,11800300
2019-08-28,2.400000,2.430000,2.390000,2.430000,2.265686,7244500
2019-08-29,2.430000,2.480000,2.410000,2.470000,2.302981,10370500
2019-08-30,2.470000,2.480000,2.430000,2.450000,2.284334,9652500
2019-09-02,2.440000,2.500000,2.430000,2.490000,2.321629,5497100
2019-09-03,2.480000,2.490000,2.440000,2.460000,2.293657,6072000
2019-09-04,2.470000,2.550000,2.470000,2.520000,2.349600,9725200
2019-09-05,2.520000,2.520000,2.490000,2.490000,2.321629,6364500
2019-09-06,2.510000,2.550000,2.480000,2.520000,2.349600,8438800
2019-09-09,2.510000,2.520000,2.490000,2.500000,2.330953,2123700
2019-09-10,2.490000,2.510000,2.440000,2.450000,2.284334,10595600
2019-09-11,2.470000,2.490000,2.440000,2.480000,2.312305,6468200
2019-09-12,2.480000,2.500000,2.450000,2.450000,2.284334,5592900
2019-09-13,2.450000,2.480000,2.440000,2.480000,2.312305,4403500
2019-09-16,2.470000,2.480000,2.450000,2.460000,2.293657,2358800
2019-09-17,2.470000,2.480000,2.450000,2.450000,2.284334,2945200
2019-09-18,2.460000,2.470000,2.450000,2.450000,2.284334,2531100
2019-09-19,2.460000,2.470000,2.450000,2.450000,2.284334,2467700
2019-09-20,2.450000,2.470000,2.440000,2.440000,2.275010,8464800
2019-09-23,2.440000,2.450000,2.430000,2.430000,2.265686,2004800
2019-09-24,2.440000,2.460000,2.430000,2.460000,2.293657,3258800
2019-09-25,2.440000,2.450000,2.400000,2.420000,2.256362,5196100
2019-09-26,2.420000,2.420000,2.380000,2.400000,2.237715,5089100
2019-09-27,2.400000,2.400000,2.360000,2.380000,2.219067,7014600
2019-09-30,2.370000,2.410000,2.370000,2.400000,2.237715,4673900
2019-10-01,2.410000,2.450000,2.410000,2.410000,2.247038,5062500
2019-10-02,2.400000,2.440000,2.390000,2.410000,2.247038,4817900
2019-10-03,2.380000,2.400000,2.380000,2.390000,2.228391,2988100
2019-10-04,2.390000,2.400000,2.370000,2.380000,2.219067,2652300
2019-10-07,2.390000,2.420000,2.390000,2.410000,2.247038,2555900
2019-10-08,2.420000,2.450000,2.410000,2.420000,2.256362,4509100
2019-10-09,2.430000,2.430000,2.390000,2.400000,2.237715,5864900
2019-10-10,2.400000,2.420000,2.380000,2.420000,2.256362,4951400
2019-10-11,2.420000,2.420000,2.400000,2.420000,2.256362,4848900
2019-10-14,2.420000,2.430000,2.400000,2.420000,2.256362,3801800
2019-10-15,2.420000,2.430000,2.400000,2.410000,2.247038,4868000
2019-10-16,2.420000,2.460000,2.400000,2.440000,2.275010,6771300
2019-10-17,2.430000,2.450000,2.410000,2.430000,2.265686,2833500
2019-10-18,2.430000,2.440000,2.400000,2.410000,2.247038,5058500
2019-10-21,2.410000,2.440000,2.400000,2.430000,2.265686,3983200
2019-10-22,2.450000,2.470000,2.430000,2.430000,2.265686,3739100
2019-10-23,2.430000,2.440000,2.410000,2.420000,2.256362,2786000
2019-10-24,2.430000,2.440000,2.410000,2.430000,2.265686,4722600
2019-10-25,2.430000,2.430000,2.400000,2.420000,2.256362,3667700
2019-10-29,2.430000,2.440000,2.380000,2.380000,2.219067,10178600
2019-10-30,2.390000,2.400000,2.310000,2.340000,2.181772,10514400
2019-10-31,2.310000,2.310000,2.280000,2.300000,2.144476,18845400
2019-11-01,2.310000,2.340000,2.300000,2.310000,2.153800,6957200
2019-11-04,2.320000,2.340000,2.310000,2.330000,2.172448,6106800
2019-11-05,2.320000,2.350000,2.310000,2.340000,2.181772,5652000
2019-11-06,2.330000,2.350000,2.330000,2.330000,2.172448,6854000
2019-11-07,2.340000,2.380000,2.330000,2.370000,2.209743,7315800
2019-11-08,2.380000,2.390000,2.370000,2.390000,2.228391,3785400
2019-11-11,2.380000,2.400000,2.350000,2.360000,2.200419,4694200
2019-11-12,2.390000,2.410000,2.370000,2.390000,2.228391,5265700
2019-11-13,2.390000,2.400000,2.360000,2.380000,2.219067,3348000
2019-11-14,2.330000,2.340000,2.290000,2.320000,2.163124,24295700
2019-11-15,2.330000,2.340000,2.290000,2.320000,2.163124,8307400
2019-11-18,2.320000,2.340000,2.310000,2.330000,2.172448,6626900
2019-11-19,2.330000,2.380000,2.310000,2.360000,2.200419,12954100
2019-11-20,2.350000,2.360000,2.330000,2.350000,2.191095,7662000
2019-11-21,2.330000,2.350000,2.310000,2.320000,2.163124,8090000
2019-11-22,2.340000,2.360000,2.330000,2.350000,2.191095,7879500
2019-11-25,2.360000,2.380000,2.340000,2.340000,2.181772,6185900
2019-11-26,2.370000,2.390000,2.360000,2.390000,2.228391,19667900
2019-11-27,2.400000,2.400000,2.370000,2.370000,2.209743,8238800
2019-11-28,2.370000,2.380000,2.360000,2.370000,2.209743,2549400
2019-11-29,2.360000,2.370000,2.330000,2.350000,2.191095,6883400
2019-12-02,2.350000,2.370000,2.350000,2.350000,2.191095,3192400
2019-12-03,2.350000,2.380000,2.340000,2.360000,2.200419,7284800
2019-12-04,2.350000,2.370000,2.330000,2.340000,2.181772,7461900
2019-12-05,2.350000,2.400000,2.350000,2.400000,2.237715,13251600
2019-12-06,2.390000,2.420000,2.390000,2.420000,2.256362,8188000
2019-12-09,2.410000,2.440000,2.400000,2.400000,2.237715,12931200
2019-12-10,2.400000,2.420000,2.380000,2.390000,2.228391,14703400
2019-12-11,2.390000,2.440000,2.390000,2.430000,2.265686,10751800
2019-12-12,2.440000,2.450000,2.410000,2.430000,2.265686,7296300
2019-12-13,2.450000,2.450000,2.400000,2.410000,2.247038,7590500
2019-12-16,2.410000,2.430000,2.410000,2.420000,2.256362,3003400
2019-12-17,2.430000,2.430000,2.400000,2.400000,2.237715,6413900
2019-12-18,2.410000,2.440000,2.400000,2.410000,2.247038,10877700
2019-12-19,2.400000,2.420000,2.380000,2.380000,2.219067,7509300
2019-12-20,2.390000,2.400000,2.330000,2.340000,2.181772,16299900
2019-12-23,2.340000,2.360000,2.320000,2.340000,2.181772,6039000
2019-12-24,2.340000,2.360000,2.330000,2.350000,2.191095,2517000
2019-12-25,2.350000,2.350000,2.350000,2.350000,2.191095,0
2019-12-26,2.350000,2.360000,2.340000,2.350000,2.191095,1790700
2019-12-27,2.350000,2.360000,2.340000,2.350000,2.191095,2524500
2019-12-30,2.360000,2.400000,2.360000,2.390000,2.228391,5510900
2019-12-31,2.360000,2.400000,2.360000,2.380000,2.219067,2570500
2020-01-02,2.390000,2.390000,2.360000,2.370000,2.209743,3965100
2020-01-03,2.380000,2.390000,2.340000,2.360000,2.200419,6183200
2020-01-06,2.340000,2.350000,2.320000,2.320000,2.163124,5892100
2020-01-07,2.340000,2.340000,2.320000,2.340000,2.181772,5529500
2020-01-08,2.310000,2.320000,2.270000,2.300000,2.144476,18605500
2020-01-09,2.310000,2.310000,2.260000,2.280000,2.125829,15601000
2020-01-10,2.280000,2.290000,2.260000,2.270000,2.116505,9228500
2020-01-13,2.280000,2.300000,2.270000,2.280000,2.125829,8279900
2020-01-14,2.290000,2.290000,2.230000,2.250000,2.097857,17339900
2020-01-15,2.250000,2.260000,2.210000,2.240000,2.088534,13637000
2020-01-16,2.230000,2.260000,2.230000,2.260000,2.107181,8045100
2020-01-17,2.250000,2.270000,2.220000,2.240000,2.088534,12244000
2020-01-20,2.240000,2.250000,2.230000,2.250000,2.097857,3127300
2020-01-21,2.240000,2.250000,2.210000,2.220000,2.069886,7854200
2020-01-22,2.220000,2.230000,2.210000,2.220000,2.069886,5025400
2020-01-23,2.220000,2.220000,2.180000,2.200000,2.051238,8459100
2020-01-24,2.210000,2.220000,2.210000,2.220000,2.069886,1721700
2020-01-28,2.190000,2.200000,2.150000,2.180000,2.032591,12898814
2020-01-29,2.190000,2.200000,2.170000,2.190000,2.041914,5893200
